"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2019/12/23","2,173941","4894927613","0","-567844,41","-0,01%","3,86%","4,88%","5,24%","-0,18%","0,04%","3,66%"
"2019/12/20","2,173094","4893588099","0","-16335121,45","-0,33%","3,97%","4,76%","5,2%","-0,29%","0,07%","3,67%"
"2019/12/19","2,170167","4903309910","0","-596503,24","-0,01%","3,77%","4,76%","5,06%","-0,21%","0,05%","3,66%"
"2019/12/18","2,168942","4901138292","0","-1831317,73","-0,04%","3,73%","4,83%","4,99%","-0,18%","0,02%","3,65%"
"2019/12/17","2,167655","4900060301","0","-8493021,87","-0,17%","3,65%","5,12%","4,92%","-0,2%","0,01%","3,65%"
"2019/12/16","2,168988","4911571839","0","178115,04","0%","3,9%","5,32%","4,95%","-0,18%","0,02%","3,64%"
"2019/12/13","2,16175","4895004206","0","-9429841,12","-0,19%","3,48%","4,93%","4,6%","-0,06%","-0,05%","3,6%"
"2019/12/12","2,160431","4901441588","0","-2724528,4","-0,06%","3,34%","5,12%","4,48%","0%","-0,06%","3,6%"
"2019/12/11","2,153273","4887917497","0","-2451447,24","-0,05%","3,02%","4,74%","4,23%","-0,09%","-0,13%","3,56%"
"2019/12/10","2,151208","4885679055","0","-13430335,56","-0,27%","3,17%","4,61%","3,91%","-0,13%","-0,15%","3,56%"
"2019/12/09","2,151406","4899560311","0","-13188273,93","-0,27%","3,25%","4,62%","3,89%","-0,12%","-0,17%","3,56%"
"2019/12/06","2,155311","4921665676","0","-3686292,4","-0,08%","3,42%","5,16%","4,08%","0,58%","-0,16%","3,57%"
"2019/12/05","2,146255","4904657049","0","-8277996,91","-0,17%","3,01%","4,96%","3,28%","0,44%","-0,24%","3,53%"
"2019/12/04","2,145015","4910096595","0","-33028129,84","-0,67%","2,95%","5,1%","3,2%","0,51%","-0,25%","3,52%"
"2019/12/03","2,138042","4927055649","0","-6335176,34","-0,13%","2,38%","5,02%","2,11%","0,4%","-0,31%","3,47%"
"2019/12/02","2,146306","4952459460","0","-6067450,71","-0,12%","2,82%","5,31%","2,74%","0,53%","-0,23%","3,51%"
"2019/11/29","2,159659","4989375825","0","-20146480,81","-0,4%","3,65%","5,69%","3,54%","0,68%","-0,12%","3,59%"
"2019/11/28","2,161086","5012832360","0","-2670722,05","-0,05%","3,62%","5,67%","3,65%","0,71%","-0,11%","3,6%"
"2019/11/27","2,160926","5015131750","0","-15342756,06","-0,31%","3,46%","5,6%","4,17%","0,63%","-0,11%","3,59%"
"2019/11/26","2,159238","5026544968","0","-14770159,36","-0,29%","3,54%","5,45%","4,2%","0,61%","-0,14%","3,57%"
"2019/11/25","2,155554","5032713850","0","-576675,51","-0,01%","3,05%","5,27%","4,04%","0,55%","-0,16%","3,55%"
"2019/11/22","2,149216","5018491084","0","35748,29","0%","3,1%","4,91%","3,64%","0,55%","-0,23%","3,56%"
"2019/11/21","2,147262","5013892713","0","-2668430,3","-0,05%","2,9%","4,76%","3,54%","0,48%","-0,25%","3,55%"
"2019/11/20","2,148579","5019637997","0","-33361469,33","-0,66%","2,72%","4,88%","3,48%","0,47%","-0,23%","3,55%"
"2019/11/19","2,151876","5060753307","0","-6761541,33","-0,13%","2,88%","5,12%","3,38%","0,53%","-0,19%","3,57%"
"2019/11/18","2,153567","5071497033","0","-81674,07","-0%","2,96%","5,2%","3,22%","0,55%","-0,17%","3,53%"
"2019/11/15","2,153539","5071512768","0","-15162657,08","-0,3%","2,76%","5,19%","3,19%","0,87%","-0,18%","3,57%"
"2019/11/14","2,14719","5071679039","0","-3766514,5","-0,07%","2,58%","5,08%","3,04%","0,74%","-0,24%","3,54%"
"2019/11/13","2,147318","5075748115","0","-236310,18","-0%","3,1%","5,04%","2,64%","0,79%","-0,22%","3,54%"
"2019/11/12","2,145549","5071802736","0","-7712666,88","-0,15%","2,92%","4,97%","2,55%","0,76%","-0,22%","3,54%"
"2019/11/11","2,143948","5075725089","0","-2924892,19","-0,06%","2,79%","4,9%","2,29%","0,74%","-0,23%","3,53%"
"2019/11/08","2,144865","5080822199","0","-15223325,37","-0,3%","2,8%","4,82%","2,24%","0,81%","-0,23%","3,56%"
"2019/11/07","2,140433","5085515410","0","35213,02","0%","2,54%","4,62%","2%","0,74%","-0,27%","3,54%"
"2019/11/06","2,127507","5054769160","0","-6263260,05","-0,12%","1,97%","3,99%","1,56%","0,53%","-0,39%","3,47%"
"2019/11/05","2,127001","5059828719","0","-3874876,46","-0,08%","1,82%","3,91%","1,6%","0,53%","-0,39%","3,48%"
"2019/11/04","2,123935","5056404438","0","-14585409,65","-0,29%","1,61%","3,76%","1,52%","0,48%","-0,43%","3,46%"
"2019/10/31","2,11307","5045049174","0","-7323363,82","-0,14%","1,12%","3,34%","1%","0,14%","-0,52%","3,42%"
"2019/10/30","2,116805","5061302962","0","-343628,03","-0,01%","1,32%","3,52%","1,26%","0,2%","-0,48%","3,44%"
"2019/10/29","2,113362","5053413782","0","-2017604,86","-0,04%","1,06%","3,28%","1,19%","0,14%","-0,54%","3,42%"
"2019/10/28","2,114312","5057703908","0","-9909746,69","-0,2%","1,2%","3,3%","1,22%","0,16%","-0,53%","3,43%"
"2019/10/25","2,11065","5058836520","0","-30453041,25","-0,6%","1,2%","3,13%","1,04%","0,05%","-0,49%","3,36%"
"2019/10/24","2,106221","5078610167","0","-12674778,97","-0,25%","0,93%","3,06%","0,82%","-0,08%","-0,54%","3,34%"
"2019/10/22","2,1017","5080356511","0","-16532226,04","-0,32%","0,95%","2,84%","0,42%","-0,1%","-0,58%","3,32%"
"2019/10/21","2,106673","5108948892","0","-988539,19","-0,02%","1,2%","3,08%","0,66%","-0,02%","-0,53%","3,34%"
"2019/10/18","2,101573","5097566892","0","-703661,09","-0,01%","0,89%","2,83%","0,42%","-0,03%","-0,58%","3,38%"
"2019/10/17","2,106989","5111409394","0","79904,74","0%","1,16%","3,23%","0,55%","0,07%","-0,53%","3,41%"
"2019/10/16","2,108167","5114187191","0","-17601018,17","-0,34%","1,13%","3,25%","0,66%","0,09%","-0,54%","3,42%"
"2019/10/15","2,108919","5133618759","0","-15006148,99","-0,29%","1,19%","3,16%","0,7%","0,1%","-0,53%","3,41%"
"2019/10/14","2,096416","5118100617","0","-10483341,82","-0,2%","0,62%","2,44%","0,09%","-0,1%","-0,49%","3,4%"
"2019/10/11","2,099889","5137080160","0","-76181,46","-0%","0,84%","2,4%","0,25%","-0,21%","-0,35%","3,49%"
"2019/10/10","2,090916","5115204846","0","-26780477,51","-0,52%","0,4%","1,91%","-0,18%","-0,53%","-0,44%","3,45%"
"2019/10/09","2,088016","5134853637","0","-135401,24","-0%","0,28%","1,77%","-0,33%","-0,49%","-0,45%","3,44%"
"2019/10/08","2,087285","5133191314","0","-2052847,3","-0,04%","0,26%","1,67%","-0,37%","-0,5%","-0,45%","3,43%"
"2019/10/07","2,087208","5135054722","0","-17337708,06","-0,34%","0,28%","1,65%","-0,39%","-0,5%","-0,41%","3,45%"
"2019/10/04","2,086517","5150686657","0","-586348,67","-0,01%","0,22%","1,69%","-0,75%","-0,52%","-0,32%","3,49%"
"2019/10/03","2,087801","5154442994","0","-21138196,01","-0,41%","0,28%","1,85%","-1,08%","-0,53%","-0,3%","3,49%"
"2019/10/02","2,091196","5183997269","0","-1777022,99","-0,03%","0,67%","1,6%","-0,79%","-0,46%","-0,29%","3,51%"
"2019/10/01","2,090406","5183815240","0","11399738,07","0,22%","0,8%","1,76%","-1%","-0,47%","-0,33%","3,45%"
"2019/09/30","2,092104","5176616964","0","-124045,18","-0%","1,08%","1,46%","-0,87%","-0,45%","-0,21%","3,46%"
"2019/09/27","2,091965","5176397065","0","-15409574,8","-0,3%","1,27%","1,35%","-1,14%","-0,43%","-0,2%","3,46%"
"2019/09/26","2,092317","5192680228","0","-14026044,17","-0,27%","1,2%","1,77%","-1,03%","-0,28%","-0,2%","3,46%"
"2019/09/25","2,08965","5200069474","0","-3728511,71","-0,07%","1,05%","1,64%","-1,08%","-0,43%","-0,24%","3,44%"
"2019/09/24","2,089097","5202420865","0","-3528778,01","-0,07%","0,91%","1,79%","-1,05%","-0,44%","-0,24%","3,44%"
"2019/09/23","2,093219","5216221509","0","-630259,8","-0,01%","0,99%","1,99%","-1,02%","-0,37%","-0,2%","3,47%"
"2019/09/20","2,090179","5209275290","0","-1465434,85","-0,03%","0,76%","2,14%","-1,01%","-0,36%","-0,24%","3,48%"
"2019/09/19","2,091282","5213490464","0","-9632430,45","-0,18%","0,96%","2,53%","-0,72%","-0,34%","-0,23%","3,49%"
"2019/09/18","2,091025","5222481019","0","-34799230,38","-0,66%","1,07%","2,46%","-0,62%","-0,36%","-0,24%","3,48%"
"2019/09/17","2,091259","5257868575","0","-43583970,73","-0,82%","1,42%","2,35%","-0,64%","-0,35%","-0,27%","3,48%"
"2019/09/16","2,087665","5292341565","0","-11879714,36","-0,22%","1,37%","2,17%","-0,82%","-0,41%","-0,32%","3,53%"
"2019/09/13","2,089105","5307879950","0","-41197664,26","-0,77%","1,4%","2,23%","-0,76%","-0,42%","-0,32%","3,57%"
"2019/09/12","2,090588","5352874782","0","-2276157,26","-0,04%","1,72%","2,3%","-0,7%","-0,44%","-0,3%","3,58%"
"2019/09/11","2,090088","5353870163","0","8473,43","0%","1,67%","2,26%","-0,77%","-0,54%","-0,31%","3,57%"
"2019/09/10","2,085113","5341117986","0","-37997633,67","-0,71%","1,4%","1,99%","-1,19%","-0,62%","-0,37%","3,57%"
"2019/09/09","2,083749","5375596811","0","-965377,71","-0,02%","1,33%","1,93%","-1,27%","-0,64%","-0,38%","3,54%"
"2019/09/06","2,08398","5377158223","0","-191035,83","-0%","1,68%","1,95%","-1,5%","-0,83%","-0,37%","3,57%"
"2019/09/05","2,083552","5376244879","0","-1355107,04","-0,03%","1,9%","1,92%","-1,44%","-0,73%","-0,37%","3,57%"
"2019/09/04","2,083641","5377829693","0","138116,2","0%","2,09%","1,93%","-1,42%","-0,74%","-0,37%","3,57%"
"2019/09/03","2,088415","5390012845","0","-20387514,39","-0,38%","2,58%","2,14%","-1,43%","-0,67%","-0,34%","3,6%"
"2019/09/02","2,087511","5408058391","0","-36733512,04","-0,68%","2,42%","2,1%","-1,48%","-0,68%","-0,36%","3,62%"
"2019/08/30","2,085754","5440209173","0","-13770114,29","-0,25%","2,15%","2,01%","-1,51%","-0,69%","-0,38%","3,58%"
"2019/08/29","2,083705","5448621415","0","0,03","0%","1,97%","1,91%","-1,67%","-0,69%","-0,4%","3,57%"
"2019/08/28","2,0856","5453576597","0","-9613873,31","-0,18%","1,98%","2%","-1,56%","-0,64%","-0,36%","3,58%"
"2019/08/27","2,088686","5471274190","0","-30008594,99","-0,55%","2,07%","1,93%","-1,51%","-0,6%","-0,34%","3,58%"
"2019/08/26","2,085475","5492825497","0","-525087,23","-0,01%","1,85%","1,48%","-1,67%","-0,65%","-0,37%","3,55%"
"2019/08/23","2,091766","5509921710","0","-9641268,81","-0,18%","2,07%","1,91%","-1,39%","-0,6%","-0,32%","3,77%"
"2019/08/22","2,084655","5500799115","0","-2991936,75","-0,05%","1,76%","1,56%","-1,73%","-0,61%","-0,39%","3,73%"
"2019/08/21","2,086701","5509192788","0","-7318104,61","-0,13%","1,8%","1,66%","-1,59%","-0,63%","-0,38%","3,74%"
"2019/08/16","2,091703","5529734439","0","-15960841,69","-0,29%","2,31%","1,85%","-1,33%","-0,7%","-0,32%","3,77%"
"2019/08/15","2,095706","5556308364","0","310497,44","0,01%","2,37%","2,05%","-1,21%","-0,65%","-0,28%","3,79%"
"2019/08/14","2,093161","5549250730","0","-8766535,12","-0,16%","2,43%","1,86%","-1,21%","-0,67%","-0,32%","3,78%"
"2019/08/13","2,082726","5530308976","0","-1662273,41","-0,03%","1,88%","1,35%","-1,75%","-0,84%","-0,42%","3,71%"
"2019/08/12","2,084656","5537097562","0","-768938,14","-0,01%","2%","1,4%","-1,71%","-0,81%","-0,4%","3,79%"
"2019/08/09","2,085798","5540900211","0","-645606,31","-0,01%","1,93%","1,38%","-1,49%","-0,79%","-0,38%","3,77%"
"2019/08/08","2,086436","5543240855","0","474666,25","0,01%","1,97%","1,41%","-1,43%","-0,57%","-0,38%","3,77%"
"2019/08/07","2,087469","5545510427","0","-5397501,57","-0,1%","2,03%","1,45%","-1,44%","-0,5%","-0,38%","3,78%"
"2019/08/06","2,086383","5548020084","0","83584,33","0%","1,98%","1,31%","-1,52%","-0,52%","-0,39%","3,77%"
"2019/08/05","2,089044","5555012410","0","88678,25","0%","2,06%","1,42%","-1,49%","-0,48%","-0,42%","3,75%"
"2019/08/02","2,090268","5558178439","0","-352210,95","-0,01%","2,16%","1,51%","-1,37%","-0,35%","-0,39%","3,82%"
"2019/08/01","2,090297","5558607768","0","-39364514,2","-0,7%","2,22%","1,51%","-1,45%","-0,48%","-0,39%","3,82%"
"2019/07/31","2,089575","5596038712","0","-7658290,9","-0,14%","2,19%","1,47%","-1,42%","-0,48%","-0,4%","3,81%"
"2019/07/30","2,089313","5602994387","0","55089,65","0%","2,17%","1,45%","-1,33%","-0,48%","-0,38%","3,84%"
"2019/07/29","2,091127","5607803926","0","72877,89","0%","2,2%","1,53%","-1,36%","-0,45%","-0,35%","3,85%"
"2019/07/26","2,089203","5602571498","0","-550193,77","-0,01%","2,07%","1,41%","-1,52%","-0,36%","-0,37%","3,82%"
"2019/07/25","2,085583","5593413061","0","10316,92","0%","1,91%","1,24%","-1,79%","-0,36%","-0,4%","3,8%"
"2019/07/24","2,086907","5596953629","0","-32510227,84","-0,58%","2,12%","1,3%","-1,6%","-0,31%","-0,41%","3,81%"
"2019/07/23","2,085169","5624775575","0","162816,91","0%","2,04%","1,11%","-1,54%","-0,34%","-0,43%","3,81%"
"2019/07/22","2,081858","5615681543","0","-1628500,38","-0,03%","1,87%","0,95%","-1,82%","-0,39%","-0,46%","3,84%"
"2019/07/19","2,081706","5616899914","0","-3236780,27","-0,06%","1,86%","0,91%","-1,88%","-0,32%","-0,45%","3,89%"
"2019/07/18","2,083095","5623886681","0","35361,12","0%","1,93%","0,98%","-1,93%","-0,37%","-0,43%","3,9%"
"2019/07/17","2,082777","5622992797","0","-4867146,62","-0,09%","2,04%","0,99%","-1,76%","-0,36%","-0,43%","3,9%"
"2019/07/16","2,084583","5632739926","0","241561,76","0%","2,1%","1,06%","-1,61%","-0,33%","-0,43%","3,9%"
"2019/07/15","2,084037","5631023084","0","-22428145,88","-0,4%","1,95%","1,03%","-1,68%","-0,34%","-0,43%","3,97%"
"2019/07/12","2,083559","5652154540","0","-24994183,79","-0,44%","1,81%","0,98%","-1,67%","-0,28%","-0,46%","4,14%"
"2019/07/11","2,082417","5674037075","0","-27936408,78","-0,49%","1,55%","0,93%","-1,39%","-0,18%","-0,47%","4,14%"
"2019/07/10","2,082524","5702266466","0","-12899291,55","-0,23%","1,5%","0,93%","-1,55%","-0,02%","-0,47%","4,14%"
"2019/07/09","2,08221","5714304033","0","-1072598,41","-0,02%","1,49%","0,91%","-1,39%","-0,03%","-0,45%","4,14%"
"2019/07/08","2,081904","5714536704","0","-33738180,29","-0,59%","1,4%","0,89%","-1,31%","-0,03%","-0,46%","4,19%"
"2019/07/05","2,081477","5747095909","0","-6486444,82","-0,11%","1,37%","0,84%","-1,18%","-0,03%","-0,49%","4,14%"
"2019/07/04","2,081993","5755008672","0","-26982642,01","-0,47%","1,47%","0,87%","-1,01%","-0,02%","-0,48%","4,15%"
"2019/07/03","2,082028","5782088514","0","-13223444,63","-0,23%","1,56%","0,87%","-1,12%","-0,02%","-0,49%","4,15%"
"2019/07/02","2,077237","5781976240","0","-2603574","-0,05%","0,92%","0,63%","-1,47%","-0,1%","-0,51%","4,15%"
"2019/07/01","2,073903","5775295467","0","-29304064,69","-0,51%","0,95%","0,46%","-1,59%","-0,15%","-0,53%","4,19%"
"2019/06/28","2,069744","5792959002","0","45088,09","0%","0,32%","0,24%","-1,74%","-0,22%","-0,57%","4,33%"
"2019/06/27","2,065715","5781637326","0","-3896273,36","-0,07%","0,08%","0,04%","-1,74%","-0,29%","-0,61%","4,31%"
"2019/06/26","2,067596","5790801794","0","-20758687,1","-0,36%","0,56%","0,1%","-1,66%","-0,26%","-0,61%","4,32%"
"2019/06/25","2,067871","5812333446","0","-4722107,21","-0,08%","0,58%","0,11%","-1,61%","-0,26%","-0,6%","4,37%"
"2019/06/24","2,070329","5823970067","0","-2024518689,49","-25,76%","0,87%","0,23%","-1,86%","-0,22%","-0,58%","4,39%"
"2019/06/21","2,072754","7857681781","0","-21887689,74","-0,28%","1,31%","0,35%","-1,76%","-0,45%","-0,57%","4,41%"
"2019/06/20","2,074348","7885629058","0","-1645525,51","-0,02%","1,37%","0,42%","-1,88%","-0,4%","-0,55%","4,42%"
"2019/06/19","2,071483","7876381020","0","-34384961,39","-0,44%","1,56%","0,28%","-1,91%","-0,31%","-0,59%","4,41%"
"2019/06/18","2,068929","7901012536","0","-12249155,71","-0,16%","1,38%","0,15%","-2,3%","-0,35%","-0,64%","4,4%"
"2019/06/17","2,062051","7886954644","0","-16258517,58","-0,21%","0,92%","-0,19%","-2,71%","-0,46%","-0,68%","4,36%"
"2019/06/14","2,059434","7893182998","0","279314887,94","3,67%","0,79%","-0,35%","-2,72%","-0,71%","-0,71%","4,35%"
"2019/06/13","2,060268","7616951465","0","-45405405,96","-0,59%","0,82%","-0,31%","-2,56%","-0,77%","-0,71%","4,35%"
"2019/06/12","2,055178","7643426617","0","-110939891,48","-1,43%","0,56%","-0,61%","-2,91%","-1,03%","-0,77%","4,32%"
"2019/06/11","2,055835","7756845427","0","-51292267,17","-0,66%","0,59%","-0,48%","-2,82%","-1,02%","-0,77%","4,33%"
"2019/06/07","2,056342","7810063299","0","-4614221,36","-0,06%","0,6%","-0,7%","-2,6%","-1,34%","-0,79%","4,34%"
"2019/06/06","2,04963","7789170034","0","-59913753,33","-0,77%","0,27%","-1,03%","-2,98%","-1,36%","-0,86%","4,31%"
"2019/06/05","2,044779","7830506822","0","-38750944,67","-0,49%","0,02%","-1,6%","-2,88%","-1,25%","-0,91%","4,29%"
"2019/06/04","2,040954","7854537393","0","-7658772,91","-0,1%","-0,16%","-1,8%","-2,95%","-1,31%","-0,96%","4,27%"
"2019/06/03","2,035803","7842353400","0","208847133,7","2,73%","-0,43%","-2,78%","-3,01%","-1,39%","-1,01%","4,24%"
"2019/05/31","2,038112","7642164160","0","-9306630,97","-0,12%","-0,32%","-2,44%","-2,44%","-1,47%","-0,98%","4,29%"
"2019/05/30","2,041883","7665627862","0","-10628303,45","-0,14%","-0,14%","-2,26%","-2,52%","-1,46%","-0,95%","4,31%"
"2019/05/29","2,043482","7682267447","0","-140629304,12","-1,8%","-0,06%","-2,03%","-1,99%","-1,43%","-0,93%","4,32%"
"2019/05/28","2,04507","7828975963","0","-19858912,2","-0,25%","0,02%","-1,92%","-2,37%","-1,4%","-0,92%","4,36%"
"2019/05/27","2,046296","7853540177","0","-27799975,05","-0,35%","-0,14%","-1,36%","-2,34%","-1,38%","-0,91%","4,38%"
"2019/05/24","2,047641","7886520440","0","139612191,49","1,8%","-0,24%","-1,17%","-2,42%","-1,09%","-0,88%","4,37%"
"2019/05/23","2,049434","7753691765","0","-19618198,62","-0,25%","-0,15%","-1,08%","-2,4%","-0,8%","-0,86%","4,38%"
"2019/05/22","2,048698","7770518385","0","-11618746,64","-0,15%","-0,19%","-1,21%","-2,48%","-0,85%","-0,87%","4,38%"
"2019/05/21","2,049709","7785977493","0","141287706,49","1,85%","-0,14%","-1,17%","-2,28%","-0,84%","-0,86%","4,37%"
"2019/05/20","2,048616","7640613283","0","-9666603,43","-0,13%","-0,2%","-1,33%","-2,33%","-0,85%","-0,87%","4,35%"
"2019/05/17","2,047034","7644372121","0","-23285173,39","-0,3%","-0,32%","-1,88%","-2,44%","-0,97%","-0,89%","4,35%"
"2019/05/16","2,044377","7657704863","0","-9514714,8","-0,12%","-0,45%","-2,01%","-2,57%","-1%","-0,91%","4,33%"
"2019/05/15","2,047224","7677896950","0","-45903978,69","-0,6%","-0,32%","-1,9%","-2,21%","-0,95%","-0,9%","4,35%"
"2019/05/14","2,043474","7709652866","0","-362677322,56","-4,49%","-0,56%","-1,94%","-2,61%","-1,02%","-0,94%","4,33%"
"2019/05/13","2,044289","8075549681","0","-11361293,12","-0,14%","-0,53%","-2,29%","-2,55%","-1%","-0,92%","4,33%"
"2019/05/10","2,043869","8085249515","0","-1062507,85","-0,01%","-0,66%","-2,49%","-2,5%","-1,16%","-0,91%","4,34%"
"2019/05/09","2,046222","8095621373","0","-19616600,58","-0,24%","-0,54%","-2,38%","-2,07%","-0,89%","-0,88%","4,35%"
"2019/05/08","2,046159","8114988118","0","-470606,17","-0,01%","-0,54%","-2,47%","-1,59%","-1,1%","-0,89%","4,35%"
"2019/05/07","2,045892","8114399751","0","-21750781,48","-0,27%","-0,57%","-2,5%","-1,66%","-1,1%","-0,89%","4,35%"
"2019/05/06","2,045923","8136273814","0","84116074,09","1,04%","-0,65%","-2,33%","-1,5%","-1,1%","-0,93%","4,32%"
"2019/05/03","2,046978","8056309913","0","-6945077,49","-0,09%","-0,6%","-2,16%","-0,99%","-1,1%","-0,98%","4,43%"
"2019/05/02","2,046051","8059603443","0","-24196312,41","-0,3%","-0,64%","-2,2%","-1,01%","-1,35%","-0,99%","4,42%"
"2019/04/30","2,044838","8079007280","0","-950863,94","-0,01%","-0,71%","-2,18%","-1,78%","-1,37%","-1%","4,42%"
"2019/04/29","2,046162","8085189788","0","-9878899,37","-0,12%","-0,65%","-2,03%","-1,71%","-1,35%","-0,99%","4,45%"
"2019/04/26","2,04674","8097355383","0","-7689048,79","-0,09%","-0,65%","-2,02%","-1,69%","-1,26%","-0,97%","4,47%"
"2019/04/25","2,046508","8104125717","0","-19389061,61","-0,24%","-0,66%","-2,03%","-1,11%","-1,23%","-0,98%","4,47%"
"2019/04/24","2,043629","8112086727","0","-6947137,14","-0,09%","-0,8%","-2,17%","-1,06%","-1,32%","-1,01%","4,46%"
"2019/04/23","2,043509","8118557122","0","-2538744,95","-0,03%","-0,91%","-2,36%","-1,69%","-1,32%","-1,05%","4,5%"
"2019/04/18","2,043702","8121862867","0","-49984,25","-0%","-0,93%","-2,35%","-2,15%","-1,16%","-1,04%","4,48%"
"2019/04/17","2,04114","8111731161","0","-20299766,3","-0,25%","-1,03%","-2,59%","-2,2%","-1,15%","-1,06%","4,46%"
"2019/04/16","2,041799","8134656425","0","-7392321,23","-0,09%","-1,01%","-2,51%","-1,77%","-1,14%","-1,08%","4,49%"
"2019/04/15","2,04426","8151862436","0","225509522,36","2,84%","-0,9%","-2,39%","-1,33%","-1,1%","-1,02%","4,54%"
"2019/04/12","2,046554","7935247601","0","-11893100,18","-0,15%","-0,81%","-2,29%","-1,2%","-0,87%","-1%","4,61%"
"2019/04/11","2,05069","7963201540","0","-4236836,02","-0,05%","-0,61%","-2,1%","-0,82%","-0,77%","-0,96%","4,63%"
"2019/04/09","2,051736","7971502345","0","-32053137,58","-0,4%","-0,57%","-2,06%","-0,4%","-0,74%","-0,95%","4,64%"
"2019/04/08","2,053087","8008825558","0","-8195191,74","-0,1%","-0,51%","-2%","-0,12%","-0,72%","-0,94%","4,73%"
"2019/04/05","2,053396","8018227352","0","46284,98","0%","-0,52%","-2%","-1,1%","-0,69%","-0,93%","4,72%"
"2019/04/04","2,051929","8012452668","0","160311923,6","2,04%","-0,59%","-2,4%","-0,91%","-0,73%","-0,95%","4,71%"
"2019/04/03","2,049974","7844659523","0","-8019039,28","-0,1%","-0,68%","-2,87%","-0,45%","-0,92%","-0,96%","4,7%"
"2019/04/02","2,058365","7884821324","0","88012130,09","1,13%","-0,28%","-2,35%","-0,78%","-0,79%","-0,88%","4,8%"
"2019/04/01","2,054291","7781377431","0","-24033622,72","-0,31%","-0,49%","-2,71%","-0,97%","-0,85%","-0,92%","4,9%"
"2019/03/29","2,061968","7834580310","0","-4542480,29","-0,06%","-0,14%","-2,3%","-0,6%","-1%","-0,88%","4,91%"
"2019/03/28","2,063113","7843475814","0","68501671,24","0,88%","-0,08%","-2,24%","-0,23%","-0,75%","-0,86%","4,92%"
"2019/03/27","2,064111","7778735170","0","-276756,02","-0%","-0,04%","-2,45%","-0,33%","-0,73%","-0,9%","4,92%"
"2019/03/26","2,055993","7748417632","0","-19346647,54","-0,25%","-0,47%","-2,75%","-1,12%","-0,86%","-0,96%","4,84%"
"2019/03/25","2,055868","7767292016","0","198019190,67","2,62%","-0,47%","-2,68%","-1,48%","-0,86%","-0,93%","4,89%"
"2019/03/22","2,052438","7556644288","0","-575169,07","-0,01%","-0,64%","-2,95%","-1,4%","-1,03%","-1%","4,98%"
"2019/03/21","2,045909","7533179225","0","-19926034,56","-0,26%","-0,95%","-3,26%","-1,3%","-1,14%","-1,06%","4,94%"
"2019/03/20","2,046336","7554681662","0","-303720,73","-0%","-0,93%","-3,09%","-1,24%","-1,13%","-1,06%","4,95%"
"2019/03/19","2,03973","7530596312","0","87002,38","0%","-1,26%","-3,17%","-1,57%","-1,24%","-1,13%","4,93%"
"2019/03/18","2,040758","7534304598","0","-1543405,2","-0,02%","-1,22%","-3,01%","-1,39%","-1,22%","-1,12%","4,91%"
"2019/03/14","2,043294","7545212617","0","-90984714,28","-1,19%","-1,14%","-2,93%","-1,26%","-1,23%","-1,11%","4,95%"
"2019/03/13","2,043463","7636828918","0","-317511,54","-0%","-1,13%","-2,93%","-1,28%","-1,23%","-1,1%","4,95%"
"2019/03/12","2,04367","7637920062","0","-1180632","-0,02%","-1,17%","-2,93%","-1,28%","-1,23%","-1,12%","4,99%"
"2019/03/11","2,043848","7639766046","0","-1479827,88","-0,02%","-1,06%","-2,96%","-1,29%","-1,22%","-1,11%","4,88%"
"2019/03/08","2,044334","7643062861","0","-10551400,31","-0,14%","-1,28%","-3,14%","-1,26%","-1,32%","-1,18%","4,83%"
"2019/03/07","2,044149","7652921655","0","-25433455,88","-0,33%","-1,29%","-3,14%","-1,28%","-1,43%","-1,18%","4,83%"
"2019/03/06","2,044161","7678400186","0","-5744130,78","-0,07%","-1,29%","-3,38%","-1,37%","-1,47%","-1,2%","4,83%"
"2019/03/05","2,044307","7684693141","0","-38209469,91","-0,49%","-1,63%","-3,29%","-1,37%","-1,47%","-1,18%","4,91%"
"2019/03/04","2,044269","7722759056","0","-865531,28","-0,01%","-1,64%","-3,29%","-1,39%","-1,47%","-1,19%","4,9%"
"2019/03/01","2,044626","7724973399","0","-145420306,4","-1,85%","-2,13%","-3,5%","-1,39%","-1,43%","-1,18%","5%"
"2019/02/28","2,044667","7870551527","0","-3529408,27","-0,04%","-1,94%","-3,49%","-1,39%","-1,18%","-1,18%","5%"
"2019/02/27","2,049208","7891568478","0","-84624134,31","-1,06%","-1,22%","-3,37%","-1,16%","-1,11%","-1,15%","5,03%"
"2019/02/26","2,055099","7999122325","0","-3908878,98","-0,05%","-0,82%","-3,1%","-0,88%","-1,01%","-1,1%","5,09%"
"2019/02/25","2,05217","7991625000","0","2489914,76","0,03%","-0,95%","-3,24%","-1,04%","-1,08%","-1,16%","5,1%"
"2019/02/22","2,052542","7990583288","0","-27557570,68","-0,34%","-1,02%","-3,24%","-1,08%","-1,15%","-1,13%","5,08%"
"2019/02/21","2,052599","8018363526","0","-22288448,01","-0,28%","-1,03%","-3,19%","-1,14%","-0,97%","-1,13%","5,08%"
"2019/02/20","2,052698","8041039787","0","-18319931,61","-0,23%","-1,14%","-3,16%","-1,06%","-0,97%","-1,11%","5,08%"
